('Y', 'M', 1, [6, 1], [5, 2])
('M', 'AL', 1, [5, 2], [5, 1])
('AL', 'Y', 1, [5, 1], [6, 1])
('B', 'AN', 1, [1, 7], [2, 7])
('AN', 'P', 1, [2, 7], [2, 8])
('P', 'B', 1, [2, 8], [1, 7])
('AN', 'N', 1, [2, 7], [3, 7])
('N', 'P', 1, [3, 7], [2, 8])
('U', 'AJ', 4, [8, 5], [6, 8])
('AJ', 'W', 2, [6, 8], [7, 6])
('W', 'U', 1, [7, 6], [8, 5])
('N', 'K', 2, [3, 7], [3, 5])
('K', 'S', 1, [3, 5], [4, 6])
('S', 'N', 1, [4, 6], [3, 7])
('AN', 'K', 2, [2, 7], [3, 5])
('AD', 'N', 1, [4, 7], [3, 7])
('S', 'AD', 1, [4, 6], [4, 7])
('AH', 'C', 1, [5, 9], [5, 8])
('C', 'AJ', 1, [5, 8], [6, 8])
('K', 'Q', 1, [3, 5], [4, 5])
('Q', 'S', 1, [4, 5], [4, 6])
('N', 'AB', 2, [3, 7], [4, 9])
('AB', 'P', 2, [4, 9], [2, 8])
('AB', 'T', 1, [4, 9], [4, 10])
('T', 'P', 2, [4, 10], [2, 8])
('AB', 'AD', 2, [4, 9], [4, 7])
('AD', 'C', 1, [4, 7], [5, 8])
('AH', 'AB', 1, [5, 9], [4, 9])
('AH', 'T', 1, [5, 9], [4, 10])
('AF', 'O', 2, [6, 4], [8, 3])
('O', 'AG', 2, [8, 3], [7, 5])
('U', 'AG', 1, [8, 5], [7, 5])
('O', 'U', 2, [8, 3], [8, 5])
('W', 'AG', 1, [7, 6], [7, 5])
('AC', 'Q', 1, [4, 4], [4, 5])
('K', 'AC', 1, [3, 5], [4, 4])
('AC', 'D', 1, [4, 4], [5, 5])
('D', 'Q', 1, [5, 5], [4, 5])
('L', 'X', 1, [2, 4], [1, 4])
('X', 'V', 1, [1, 4], [2, 3])
('V', 'L', 1, [2, 3], [2, 4])
('AJ', 'E', 1, [6, 8], [6, 7])
('E', 'W', 1, [6, 7], [7, 6])
('A', 'M', 2, [3, 3], [5, 2])
('M', 'AI', 1, [5, 2], [5, 3])
('AI', 'A', 2, [5, 3], [3, 3])
('AC', 'A', 1, [4, 4], [3, 3])
('AI', 'AC', 1, [5, 3], [4, 4])
('A', 'V', 1, [3, 3], [2, 3])
('AL', 'A', 2, [5, 1], [3, 3])
('A', 'L', 1, [3, 3], [2, 4])
('J', 'AN', 1, [1, 6], [2, 7])
('B', 'AE', 2, [1, 7], [0, 5])
('AE', 'J', 1, [0, 5], [1, 6])
('J', 'K', 2, [1, 6], [3, 5])
('X', 'J', 2, [1, 4], [1, 6])
('AE', 'X', 1, [0, 5], [1, 4])
('L', 'J', 2, [2, 4], [1, 6])
('L', 'K', 1, [2, 4], [3, 5])
('G', 'W', 1, [6, 6], [7, 6])
('G', 'I', 1, [6, 6], [5, 6])
('I', 'D', 1, [5, 6], [5, 5])
('D', 'G', 1, [5, 5], [6, 6])
('G', 'AG', 1, [6, 6], [7, 5])
('AD', 'AO', 1, [4, 7], [5, 7])
('AO', 'C', 1, [5, 7], [5, 8])
('AF', 'M', 2, [6, 4], [5, 2])
('Y', 'AF', 3, [6, 1], [6, 4])
('Y', 'O', 2, [6, 1], [8, 3])
('AF', 'AI', 1, [6, 4], [5, 3])
('I', 'Q', 1, [5, 6], [4, 5])
('I', 'S', 1, [5, 6], [4, 6])
('AF', 'AC', 2, [6, 4], [4, 4])
('AF', 'D', 1, [6, 4], [5, 5])
('A', 'K', 2, [3, 3], [3, 5])
('AF', 'G', 2, [6, 4], [6, 6])
('I', 'AO', 1, [5, 6], [5, 7])
('AO', 'S', 1, [5, 7], [4, 6])
('G', 'AO', 1, [6, 6], [5, 7])
('E', 'AO', 1, [6, 7], [5, 7])
('AO', 'AJ', 1, [5, 7], [6, 8])
